profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
High-Over,No Dual-Process,retention_7day,0.436861,0.004215,0.435287,0.438435,30,5.1131,large
High-Over,No Dual-Process,retention_1day,0.519729,0.005689,0.517604,0.521854,30,N/A,N/A
High-Over,No Dual-Process,retention_30day,0.274999,0.001335,0.274501,0.275497,30,N/A,N/A
High-Over,No Dual-Process,final_ece,0.210428,0.071954,0.183554,0.237301,30,0.3100,small
High-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Over,No Scaffolding,retention_7day,0.437257,0.004427,0.435604,0.438910,30,5.0859,large
High-Over,No Scaffolding,retention_1day,0.520264,0.005976,0.518032,0.522495,30,N/A,N/A
High-Over,No Scaffolding,retention_30day,0.275124,0.001402,0.274601,0.275648,30,N/A,N/A
High-Over,No Scaffolding,final_ece,0.218940,0.076715,0.190289,0.247592,30,0.1913,negligible
High-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Over,Calibration Only,retention_7day,0.437226,0.004383,0.435589,0.438863,30,5.1027,large
High-Over,Calibration Only,retention_1day,0.520222,0.005917,0.518012,0.522432,30,N/A,N/A
High-Over,Calibration Only,retention_30day,0.275114,0.001388,0.274596,0.275633,30,N/A,N/A
High-Over,Calibration Only,final_ece,0.242330,0.077244,0.213482,0.271179,30,-0.1092,negligible
High-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Over,SM-2 Baseline,retention_7day,0.414080,0.004684,0.412331,0.415830,30,N/A,N/A
High-Over,SM-2 Baseline,retention_1day,0.488978,0.006322,0.486617,0.491340,30,N/A,N/A
High-Over,SM-2 Baseline,retention_30day,0.267786,0.001483,0.267232,0.268340,30,N/A,N/A
High-Over,SM-2 Baseline,final_ece,0.233811,0.078735,0.204406,0.263217,30,N/A,N/A
High-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Over,BKT-Only,retention_7day,0.436722,0.004311,0.435112,0.438332,30,5.0302,large
High-Over,BKT-Only,retention_1day,0.519541,0.005819,0.517368,0.521714,30,N/A,N/A
High-Over,BKT-Only,retention_30day,0.274955,0.001365,0.274445,0.275465,30,N/A,N/A
High-Over,BKT-Only,final_ece,0.231969,0.070184,0.205757,0.258181,30,0.0247,negligible
High-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,Full CalibrateMe,retention_7day,0.436548,0.004318,0.434936,0.438161,30,7.8874,large
High-Under,Full CalibrateMe,retention_1day,0.519307,0.005829,0.517130,0.521484,30,N/A,N/A
High-Under,Full CalibrateMe,retention_30day,0.274900,0.001367,0.274389,0.275411,30,N/A,N/A
High-Under,Full CalibrateMe,final_ece,0.220796,0.073978,0.193167,0.248424,30,0.7134,medium
High-Under,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,No Dual-Process,retention_7day,0.434463,0.003634,0.433106,0.435820,30,7.9993,large
High-Under,No Dual-Process,retention_1day,0.516492,0.004905,0.514660,0.518324,30,N/A,N/A
High-Under,No Dual-Process,retention_30day,0.274240,0.001151,0.273810,0.274669,30,N/A,N/A
High-Under,No Dual-Process,final_ece,0.206556,0.057818,0.184962,0.228150,30,0.9813,large
High-Under,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,No Scaffolding,retention_7day,0.436033,0.004230,0.434454,0.437613,30,7.8474,large
High-Under,No Scaffolding,retention_1day,0.518612,0.005709,0.516479,0.520744,30,N/A,N/A
High-Under,No Scaffolding,retention_30day,0.274737,0.001339,0.274237,0.275237,30,N/A,N/A
High-Under,No Scaffolding,final_ece,0.235817,0.082149,0.205136,0.266497,30,0.4984,small
High-Under,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
High-Under,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
High-Under,Calibration Only,retention_7day,0.433650,0.004497,0.431971,0.435330,30,7.0824,large
High-Under,Calibration Only,retention_1day,0.515395,0.006071,0.513128,0.517662,30,N/A,N/A
High-Under,Calibration Only,retention_30day,0.273982,0.001424,0.273450,0.274514,30,N/A,N/A
